,model,forecast_date,target,target_end_date,state,actual,quantile_0.025,quantile_0.975
47,CU 40% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,West Virginia,19,19,25
48,CU 40% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Wisconsin,284,245,353
49,CU 40% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Wyoming,1,1,5
50,CU 40% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Alabama,229,192,303
51,CU 40% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Alaska,15,15,18
52,CU 40% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Arizona,336,256,458
53,CU 40% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Montana,12,11,29
54,CU 40% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Nebraska,14,6,24
55,CU 40% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Nevada,240,195,342
56,CU 40% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,New Hampshire,124,90,182
57,CU 40% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,New Jersey,9629,7717,11493
58,CU 40% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,New Mexico,98,80,129
59,CU 40% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,New York,25411,21338,29995
60,CU 40% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Kansas,130,105,159
61,CU 40% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Kentucky,180,163,219
62,CU 40% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Louisiana,2103,1789,2337
63,CU 40% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Arkansas,64,46,87
64,CU 40% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,California,2886,2497,4100
65,CU 40% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Colorado,720,606,808
66,CU 40% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Connecticut,2994,2253,3495
67,CU 40% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Delaware,425,318,604
68,CU 40% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Maine,40,34,68
69,CU 40% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Maryland,1647,1330,2031
70,CU 40% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Massachusetts,5115,3935,6534
71,CU 40% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Michigan,3665,3079,4473
72,CU 40% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Minnesota,212,174,284
73,CU 40% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Mississippi,174,155,205
74,CU 40% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Missouri,470,328,607
75,CU 40% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,North Carolina,259,220,335
76,CU 40% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,North Dakota,9,9,10
77,CU 40% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Ohio,915,799,1071
78,CU 40% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Oklahoma,165,145,191
79,CU 40% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Florida,1987,1604,2584
80,CU 40% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Georgia,1098,985,1265
81,CU 40% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Hawaii,17,11,33
82,CU 40% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Idaho,58,47,84
83,CU 40% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Illinois,3649,2558,4501
84,CU 40% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Indiana,1030,834,1193
85,CU 40% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Iowa,138,113,182
86,CU 40% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Oregon,121,96,162
87,CU 40% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Pennsylvania,3231,2575,4031
88,CU 40% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Rhode Island,132,67,289
89,CU 40% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,South Carolina,270,225,340
90,CU 40% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,South Dakota,200,100,311
91,CU 40% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Tennessee,345,256,461
92,CU 40% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Texas,1101,956,1416
93,CU 40% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Utah,124,67,182
94,CU 40% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Vermont,48,42,66
95,CU 40% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Virginia,642,506,814
96,CU 40% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Washington,1023,944,1335
97,CU 40% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,West Virginia,19,19,30
98,CU 40% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Wisconsin,347,276,436
99,CU 40% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Wyoming,1,1,8
100,CU 40% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Kansas,138,106,179
101,CU 40% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Kentucky,186,168,248
102,CU 40% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Louisiana,2233,1839,2532
103,CU 40% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Maine,41,35,78
104,CU 40% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Maryland,2095,1657,2643
105,CU 40% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Massachusetts,6689,5130,8772
106,CU 40% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Michigan,3889,3211,4856
107,CU 40% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Minnesota,281,210,396
108,CU 40% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Mississippi,179,155,217
109,CU 40% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Missouri,551,360,735
110,CU 40% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Montana,13,11,33
111,CU 40% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Nebraska,15,6,27
112,CU 40% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Nevada,255,203,408
113,CU 40% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,New Hampshire,162,115,240
114,CU 40% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Alabama,258,208,332
115,CU 40% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Alaska,15,15,20
116,CU 40% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Arizona,391,274,548
117,CU 40% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Arkansas,71,49,96
118,CU 40% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,California,3692,3104,5576
119,CU 40% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Colorado,802,654,922
120,CU 40% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Connecticut,3516,2606,4266
121,CU 40% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Delaware,595,437,900
122,CU 40% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Florida,2487,2018,3376
123,CU 40% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Georgia,1188,1049,1398
124,CU 40% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Hawaii,17,12,37
125,CU 40% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Idaho,59,48,95
126,CU 40% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Illinois,4670,3089,5789
127,CU 40% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Indiana,1169,919,1378
128,CU 40% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Iowa,160,122,219
129,CU 40% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Oregon,137,100,192
130,CU 40% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Pennsylvania,4080,3195,5431
131,CU 40% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Rhode Island,163,78,382
132,CU 40% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,South Carolina,322,251,417
133,CU 40% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,South Dakota,327,147,507
134,CU 40% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Tennessee,400,286,570
135,CU 40% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Texas,1259,1077,1669
136,CU 40% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Utah,161,82,256
137,CU 40% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Vermont,49,43,68
138,CU 40% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Virginia,852,665,1104
139,CU 40% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Washington,1215,1065,1699
140,CU 40% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,West Virginia,19,19,30
141,CU 40% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Wisconsin,380,300,493
142,CU 40% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Wyoming,1,1,8
143,CU 40% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,New Jersey,10945,8870,13729
144,CU 40% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,New Mexico,107,85,148
145,CU 40% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,New York,30033,24406,36879
146,CU 40% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,North Carolina,280,233,383
147,CU 40% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Ohio,1140,969,1390
148,CU 40% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,North Dakota,9,9,13
149,CU 40% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Oklahoma,171,145,203
150,CU 40% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Kansas,142,107,186
151,CU 40% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Louisiana,2286,1855,2649
152,CU 40% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Kentucky,189,170,266
153,CU 40% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Maine,42,35,80
154,CU 40% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Maryland,2426,1851,3094
155,CU 40% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Massachusetts,7774,5929,10426
156,CU 40% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Michigan,3991,3288,5074
157,CU 40% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Alabama,270,212,360
158,CU 40% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Alaska,15,15,20
159,CU 40% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Arizona,423,291,615
160,CU 40% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Arkansas,73,49,99
161,CU 40% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,California,4250,3493,6693
162,CU 40% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Colorado,852,674,990
163,CU 40% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Connecticut,3873,2818,4857
164,CU 40% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Delaware,752,510,1185
165,CU 40% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Florida,2864,2299,4025
166,CU 40% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Georgia,1229,1067,1481
167,CU 40% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Hawaii,17,12,37
168,CU 40% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Idaho,59,48,96
169,CU 40% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Illinois,5431,3417,6800
170,CU 40% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Indiana,1253,959,1538
171,CU 40% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Iowa,167,125,233
172,CU 40% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Oregon,146,103,216
173,CU 40% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Pennsylvania,4745,3690,6435
174,CU 40% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Rhode Island,173,84,446
175,CU 40% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,South Carolina,363,261,487
176,CU 40% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,South Dakota,431,184,623
177,CU 40% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Tennessee,438,300,637
178,CU 40% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Texas,1354,1162,1857
179,CU 40% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Utah,189,92,306
180,CU 40% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Vermont,49,43,69
181,CU 40% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Virginia,1008,749,1301
182,CU 40% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Washington,1358,1144,1933
183,CU 40% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,West Virginia,19,19,30
184,CU 40% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Wisconsin,403,312,534
185,CU 40% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Wyoming,1,1,8
186,CU 40% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Minnesota,343,244,503
187,CU 40% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Mississippi,180,156,225
188,CU 40% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Missouri,588,385,817
189,CU 40% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Montana,13,11,34
190,CU 40% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Nebraska,15,6,30
191,CU 40% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Nevada,261,206,452
192,CU 40% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,New Hampshire,187,136,289
193,CU 40% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,New Jersey,11790,9453,15243
194,CU 40% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,New Mexico,109,87,167
195,CU 40% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,New York,32930,26378,41259
196,CU 40% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,North Carolina,291,237,398
197,CU 40% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,North Dakota,9,9,13
198,CU 40% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Ohio,1352,1107,1700
199,CU 40% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Oklahoma,171,145,209
200,CU 30% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Alabama,184,157,226
201,CU 30% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Alaska,15,15,18
202,CU 30% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Arizona,265,222,325
203,CU 30% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Arkansas,50,42,62
204,CU 30% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,California,2012,1792,2520
205,CU 30% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Colorado,585,525,650
206,CU 30% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Connecticut,2153,1748,2483
207,CU 30% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Delaware,232,175,306
208,CU 30% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Florida,1419,1162,1715
209,CU 30% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Georgia,927,843,1026
210,CU 30% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Hawaii,14,10,24
211,CU 30% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Idaho,54,47,71
212,CU 30% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Illinois,2426,1836,2808
213,CU 30% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Indiana,815,703,894
214,CU 30% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Iowa,103,88,131
215,CU 30% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Kansas,113,98,130
216,CU 30% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Kentucky,165,154,183
217,CU 30% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Louisiana,1832,1604,1983
218,CU 30% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Maine,37,33,51
219,CU 30% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Maryland,1036,892,1227
220,CU 30% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Massachusetts,3305,2683,3899
221,CU 30% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Michigan,3191,2809,3644
222,CU 30% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Minnesota,148,131,170
223,CU 30% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Mississippi,163,155,181
224,CU 30% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Missouri,347,267,430
225,CU 30% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Montana,12,11,20
226,CU 30% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Nebraska,12,6,19
227,CU 30% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Nevada,214,182,265
228,CU 30% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,New Hampshire,76,61,111
229,CU 30% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,New Jersey,7469,6195,8672
230,CU 30% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,New Mexico,81,65,103
231,CU 30% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,New York,19217,16444,21285
232,CU 30% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,North Carolina,219,195,259
233,CU 30% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,North Dakota,9,9,9
234,CU 30% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Ohio,664,593,733
235,CU 30% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Oklahoma,154,140,172
236,CU 30% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Oregon,98,84,115
237,CU 30% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Pennsylvania,2137,1747,2531
238,CU 30% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Rhode Island,83,41,157
239,CU 30% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,South Carolina,200,170,235
240,CU 30% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,South Dakota,77,35,126
241,CU 30% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Tennessee,255,212,311
242,CU 30% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Texas,855,752,1008
243,CU 30% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Utah,74,43,108
244,CU 30% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Vermont,45,41,55
245,CU 30% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Virginia,396,338,472
246,CU 30% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Washington,807,764,931
247,CU 30% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,West Virginia,19,19,25
248,CU 30% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Wisconsin,284,245,353
249,CU 30% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Wyoming,1,1,5
250,CU 30% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Alabama,229,192,301
251,CU 30% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Alaska,15,15,18
252,CU 30% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Arizona,336,254,454
253,CU 30% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Montana,12,11,29
254,CU 30% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Nebraska,14,6,24
255,CU 30% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Nevada,241,194,338
256,CU 30% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,New Hampshire,125,90,180
257,CU 30% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,New Jersey,9638,7732,11493
258,CU 30% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,New Mexico,97,78,130
259,CU 30% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,New York,25447,21349,30008
260,CU 30% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Kansas,130,105,160
261,CU 30% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Kentucky,179,163,222
262,CU 30% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Louisiana,2102,1788,2348
263,CU 30% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Arkansas,64,46,86
264,CU 30% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,California,2890,2511,4131
265,CU 30% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Colorado,720,605,810
266,CU 30% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Connecticut,3001,2254,3514
267,CU 30% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Delaware,427,312,620
268,CU 30% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Maine,40,34,69
269,CU 30% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Maryland,1649,1342,2024
270,CU 30% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Massachusetts,5113,3958,6521
271,CU 30% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Michigan,3666,3079,4471
272,CU 30% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Minnesota,213,174,287
273,CU 30% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Mississippi,174,155,205
274,CU 30% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Missouri,471,328,604
275,CU 30% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,North Carolina,258,222,336
276,CU 30% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,North Dakota,9,9,10
