model,forecast_date,target,target_end_date,state,actual,quantile_0.025,quantile_0.975
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,New Mexico,82,33.0,308.0
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,New Mexico,105,34.0,474.0
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,New York,13196,10733.0,17683.0
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,New York,16089,11327.0,24975.0
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,New York,18015,11498.0,32497.0
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,New York,19515,11524.0,42097.0
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,North Carolina,172,101.0,435.0
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,North Carolina,272,120.0,792.0
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,North Carolina,345,135.0,1066.0
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,North Carolina,394,143.0,1398.0
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,North Dakota,9,7.0,23.0
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,North Dakota,12,7.0,46.0
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,North Dakota,15,7.0,73.0
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,North Dakota,18,7.0,104.0
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Ohio,372,271.0,745.0
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Ohio,481,293.0,1188.0
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Ohio,568,308.0,1635.0
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Ohio,649,316.0,2202.0
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Arizona,175,120.0,348.0
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Arizona,273,135.0,690.0
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Arizona,385,157.0,1074.0
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Arizona,492,172.0,1541.0
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Oklahoma,155,101.0,384.0
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Oklahoma,247,118.0,767.0
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Oklahoma,352,140.0,1220.0
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Oklahoma,456,156.0,1741.0
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Oregon,74,57.0,114.0
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Oregon,104,64.0,203.0
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Oregon,135,73.0,312.0
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Oregon,164,81.0,428.0
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Pennsylvania,1003,665.0,2123.0
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Pennsylvania,1539,790.0,3906.0
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Pennsylvania,1970,880.0,5543.0
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Pennsylvania,2300,935.0,7403.0
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Rhode Island,134,72.0,343.0
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Rhode Island,263,92.0,936.0
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Rhode Island,425,113.0,2130.0
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Rhode Island,581,128.0,4068.0
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,South Carolina,134,89.0,287.0
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,South Carolina,206,105.0,541.0
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,South Carolina,287,125.0,818.0
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,South Carolina,367,140.0,1159.0
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,South Dakota,18,7.0,56.0
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,South Dakota,43,8.0,155.0
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,South Dakota,76,10.0,357.0
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,South Dakota,110,11.0,740.0
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Tennessee,188,114.0,378.0
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Tennessee,283,133.0,687.0
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Tennessee,362,150.0,952.0
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Tennessee,417,160.0,1220.0
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Texas,479,315.0,962.0
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Texas,799,376.0,2003.0
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Texas,1169,457.0,3284.0
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Texas,1526,523.0,4815.0
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Utah,28,18.0,71.0
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Utah,43,19.0,150.0
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Utah,62,22.0,227.0
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Utah,81,26.0,324.0
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Arkansas,37,27.0,99.0
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Arkansas,54,28.0,210.0
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Arkansas,73,31.0,316.0
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Arkansas,92,35.0,429.0
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Vermont,30,27.0,52.0
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Vermont,34,27.0,88.0
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Vermont,39,27.0,133.0
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Vermont,43,28.0,182.0
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Virginia,245,160.0,557.0
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Virginia,415,193.0,1178.0
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Virginia,614,235.0,1949.0
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Virginia,809,264.0,3015.0
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Washington,644,567.0,787.0
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Washington,783,620.0,1091.0
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Washington,889,653.0,1398.0
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Washington,967,673.0,1709.0
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,West Virginia,16,6.0,66.0
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,West Virginia,29,6.0,150.0
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,West Virginia,38,6.0,218.0
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,West Virginia,43,6.0,274.0
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Wisconsin,217,158.0,428.0
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Wisconsin,288,174.0,698.0
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Wisconsin,339,184.0,928.0
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Wisconsin,380,189.0,1167.0
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Wyoming,1,0.0,20.0
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Wyoming,4,0.0,53.0
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Wyoming,10,0.0,108.0
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Wyoming,18,0.0,177.0
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,California,908,713.0,1378.0
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,California,1224,813.0,2217.0
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,California,1461,885.0,2932.0
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,California,1624,927.0,3642.0
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Colorado,396,319.0,575.0
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Colorado,518,354.0,952.0
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Colorado,632,382.0,1465.0
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Colorado,733,404.0,2170.0
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Connecticut,1034,656.0,2074.0
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Connecticut,1763,807.0,4526.0
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Connecticut,2519,945.0,7655.0
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Connecticut,3146,1020.0,11262.0
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Alabama,51,21.0,106.0
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Alaska,14,0.0,40.0
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Arizona,228,102.0,379.0
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Arkansas,14,0.0,46.0
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,California,1347,736.0,2662.0
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Colorado,351,212.0,684.0
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Connecticut,513,262.0,942.0
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Delaware,27,5.0,88.0
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Florida,976,543.0,1909.0
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Georgia,286,149.0,627.0
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Hawaii,16,4.0,72.0
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Idaho,0,0.0,10.0
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Illinois,973,495.0,2204.0
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Indiana,144,74.0,308.0
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Iowa,25,3.0,108.0
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Kansas,26,4.0,88.0
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Kentucky,39,7.0,141.0
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Louisiana,436,259.0,1040.0
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Maine,27,6.0,72.0
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Maryland,176,85.0,427.0
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Massachusetts,965,747.0,1738.0
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Michigan,1426,931.0,2730.0
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Minnesota,48,13.0,249.0
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Mississippi,13,0.0,67.0
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Missouri,159,97.0,291.0
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Montana,22,1.0,58.0
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Nebraska,8,1.0,58.0
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Nevada,52,23.0,169.0
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,New Hampshire,44,17.0,182.0
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,New Jersey,2187,1523.0,3553.0
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,New Mexico,23,4.0,96.0
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,New York,12010,8994.0,17865.0
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,North Carolina,157,85.0,313.0
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,North Dakota,0,0.0,14.0
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Ohio,130,58.0,339.0
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Oklahoma,40,10.0,99.0
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Oregon,95,38.0,247.0
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Pennsylvania,684,373.0,1348.0
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Rhode Island,37,17.0,97.0
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,South Carolina,83,34.0,227.0
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,South Dakota,13,0.0,190.0
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Tennessee,192,94.0,389.0
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Texas,340,197.0,595.0
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Utah,56,23.0,166.0
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Vermont,45,15.0,89.0
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Virginia,99,33.0,280.0
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Washington,611,340.0,1290.0
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,West Virginia,0,0.0,17.0
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Wisconsin,157,71.0,325.0
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Wyoming,0,0.0,34.0
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Alabama,91,40.0,238.0
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Alaska,21,0.0,70.0
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Arizona,385,139.0,699.0
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Montana,44,5.0,147.0
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Nebraska,17,1.0,138.0
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Nevada,80,28.0,242.0
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,New Hampshire,73,25.0,433.0
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,New Jersey,3176,2077.0,5525.0
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,New Mexico,37,5.0,213.0
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,New York,16944,11135.0,25269.0
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Kansas,42,6.0,218.0
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Kentucky,76,16.0,352.0
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Louisiana,592,288.0,1505.0
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Arkansas,21,1.0,107.0
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,California,1857,904.0,4486.0
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Colorado,517,299.0,1113.0
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Connecticut,773,370.0,1506.0
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Delaware,40,6.0,149.0
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Maine,45,6.0,167.0
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Maryland,256,101.0,685.0
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Massachusetts,1372,1006.0,2564.0
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Michigan,2339,1338.0,4904.0
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Minnesota,92,29.0,714.0
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Mississippi,34,0.0,200.0
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Missouri,260,145.0,520.0
